"","book","chapter","character","word_count"
"379","The Fires of Heaven","Ch24: A Message Sent","Egwene al'Vere",4004
"380","The Fires of Heaven","Ch25: Dreams of Galad","Egwene al'Vere",3553
"381","The Fires of Heaven","Ch25: Dreams of Galad","Moghedien",269
"382","The Fires of Heaven","Ch26: Sallie Daera","Min Farshaw",5155
"383","The Fires of Heaven","Ch27: The Practice of Diffidence","Siuan Sanche",6503
"384","The Fires of Heaven","Ch28: Trapped","Gareth Bryne",3739
"385","The Fires of Heaven","Ch28: Trapped","Min Farshaw",1620
"386","The Fires of Heaven","Ch29: Memories of Saldaea","Hadnan Kadere",2262
"387","The Fires of Heaven","Ch30: A Wager","Rand al'Thor",3816
"388","The Fires of Heaven","Ch31: The Far Snows","Rand al'Thor",4564
"389","The Fires of Heaven","Ch32: A Short Spear","Rand al'Thor",5135
"390","The Fires of Heaven","Ch33: A Question of Crimson","Nynaeve al'Meara",4784
"391","The Fires of Heaven","Ch34: A Silver Arrow","Nynaeve al'Meara",4724
"392","The Fires of Heaven","Ch34: A Silver Arrow","Liandrin",1393
"393","The Fires of Heaven","Ch35: Ripped Away","Elayne Trakand",3178
"394","The Fires of Heaven","Ch36: A New Name","Elayne Trakand",6198
"395","The Fires of Heaven","Ch37: Performances in Samara","Nynaeve al'Meara",4246
"396","The Fires of Heaven","Ch38: An Old Acquaintance","Nynaeve al'Meara",2791
"397","The Fires of Heaven","Ch39: Encounters in Samara","Nynaeve al'Meara",7284
"398","The Fires of Heaven","Ch40: The Wheel Weaves","Nynaeve al'Meara",7737
"399","The Fires of Heaven","Ch41: The Craft of Kin Tovere","Rand al'Thor",4173
"400","The Fires of Heaven","Ch42: Before The Arrow","Matrim Cauthon",4767
"401","The Fires of Heaven","Ch42: Before The Arrow","Rand al'Thor",1328
"402","The Fires of Heaven","Ch43: This Place, This Day","Rand al'Thor",3160
"403","The Fires of Heaven","Ch43: This Place, This Day","Matrim Cauthon",3938
"404","The Fires of Heaven","Ch44: The Lesser Sadness","Rand al'Thor",3735
"405","The Fires of Heaven","Ch44: The Lesser Sadness","Matrim Cauthon",2792
"406","The Fires of Heaven","Ch44: The Lesser Sadness","Rand al'Thor",2056
"407","The Fires of Heaven","Ch45: After the Storm","Matrim Cauthon",2769
"408","The Fires of Heaven","Ch45: After the Storm","Rand al'Thor",3454
"409","The Fires of Heaven","Ch46: Other Battle, Other Weapons","Rand al'Thor",7882
"410","The Fires of Heaven","Ch47: The Price of A Ship","Nynaeve al'Meara",6981
"411","The Fires of Heaven","Ch47: The Price of A Ship","Elayne Trakand",1659
"412","The Fires of Heaven","Ch48: Leavetakings","Nynaeve al'Meara",4989
"413","The Fires of Heaven","Ch49: To Boannda","Nynaeve al'Meara",11647
"414","The Fires of Heaven","Ch50: To Teach, and Learn","Nynaeve al'Meara",8004
"415","The Fires of Heaven","Ch50: To Teach, and Learn","Elayne Trakand",1490
"416","The Fires of Heaven","Ch51: News Comes to Cairhien","Rand al'Thor",7301
"417","The Fires of Heaven","Ch51: News Comes to Cairhien","Egwene al'Vere",573
"418","The Fires of Heaven","Ch51: News Comes to Cairhien","Matrim Cauthon",1709
"419","The Fires of Heaven","Ch52: Choices","Rand al'Thor",3339
"420","The Fires of Heaven","Ch52: Choices","Hadnan Kadere",1258
"421","The Fires of Heaven","Ch52: Choices","Rand al'Thor",2155
"422","The Fires of Heaven","Ch52: Choices","Moiraine Damodred",462
"423","The Fires of Heaven","Ch53: Fading Words","Rand al'Thor",4263
"424","The Fires of Heaven","Ch54: To Caemlyn","Rand al'Thor",3802
"425","The Fires of Heaven","Ch54: To Caemlyn","Nynaeve al'Meara",5381
"426","The Fires of Heaven","Ch55: The Threads Burn","Rand al'Thor",2240
"427","The Fires of Heaven","Ch55: The Threads Burn","Nynaeve al'Meara",1646
"428","The Fires of Heaven","Ch55: The Threads Burn","Rand al'Thor",835
"429","The Fires of Heaven","Ch55: The Threads Burn","Nynaeve al'Meara",1090
"430","The Fires of Heaven","Ch55: The Threads Burn","Rand al'Thor",355
"431","The Fires of Heaven","Ch55: The Threads Burn","Nynaeve al'Meara",1347
"432","The Fires of Heaven","Ch55: The Threads Burn","Rand al'Thor",1087
"433","The Fires of Heaven","Ch56: Glowing Embers","Rand al'Thor",1901
"434","The Fires of Heaven","Ch56: Glowing Embers","Asmodean",328
"435","The Fires of Heaven","Ch56: Glowing Embers","Morgase Trakand",835
"436","The Fires of Heaven","Ch56: Glowing Embers","Quote",77
"437","Lord of Chaos","Prologue: The First Message","Quote",41
"438","Lord of Chaos","Prologue: The First Message","Demandred",1864
"439","Lord of Chaos","Prologue: The First Message","Nynaeve al'Meara",5063
"440","Lord of Chaos","Prologue: The First Message","Elayne Trakand",4046
"441","Lord of Chaos","Prologue: The First Message","Faile Bashere",6021
"442","Lord of Chaos","Prologue: The First Message","Gawyn Trakand",2591
"443","Lord of Chaos","Prologue: The First Message","Katerine Alruddin",1001
"444","Lord of Chaos","Prologue: The First Message","Sevanna",637
"445","Lord of Chaos","Prologue: The First Message","Morgase Trakand",4374
"446","Lord of Chaos","Prologue: The First Message","Pedron Niall",1280
"447","Lord of Chaos","Prologue: The First Message","Mesaana",1908
"448","Lord of Chaos","Prologue: The First Message","Osan'gar",1272
"449","Lord of Chaos","Ch1: Lion on the Hill","Rand al'Thor",6490
"450","Lord of Chaos","Ch2: A New Arrival","Rand al'Thor",5591
"451","Lord of Chaos","Ch3: A Woman's Eyes","Rand al'Thor",6592
"452","Lord of Chaos","Ch4: A Sense of Humor","Rand al'Thor",7704
"453","Lord of Chaos","Ch5: A Different Dance","Matrim Cauthon",12582
"454","Lord of Chaos","Ch6: Threads Woven of Shadow","Sammael",5102
"455","Lord of Chaos","Ch6: Threads Woven of Shadow","Graendal",986
"456","Lord of Chaos","Ch6: Threads Woven of Shadow","Semirhage",3091
"457","Lord of Chaos","Ch7: A Matter of Thought","Elayne Trakand",11728
"458","Lord of Chaos","Ch7: A Matter of Thought","Demandred",141
"459","Lord of Chaos","Ch8: The Storm Gathers","Nynaeve al'Meara",9990
"460","Lord of Chaos","Ch9: Plans","Pedron Niall",5208
"461","Lord of Chaos","Ch9: Plans","Morgase Trakand",2529
"462","Lord of Chaos","Ch10: A Saying in the Borderlands","Rand al'Thor",8249
"463","Lord of Chaos","Ch11: Lessons and Teachers","Verin Mathwin",3197
"464","Lord of Chaos","Ch11: Lessons and Teachers","Rand al'Thor",2531
"465","Lord of Chaos","Ch12: Questions and Answers","Nynaeve al'Meara",8590
"466","Lord of Chaos","Ch12: Questions and Answers","Narrator",10
"467","Lord of Chaos","Ch13: Under the Dust","Nynaeve al'Meara",7829
"468","Lord of Chaos","Ch14: Dreams and Nightmares","Egwene al'Vere",3651
"469","Lord of Chaos","Ch14: Dreams and Nightmares","Nynaeve al'Meara",2959
"470","Lord of Chaos","Ch15: A Pile of Sand","Egwene al'Vere",4030
"471","Lord of Chaos","Ch15: A Pile of Sand","Elayne Trakand",4328
"472","Lord of Chaos","Ch15: A Pile of Sand","Sheriam Bayanar",129
"473","Lord of Chaos","Ch16: Tellings of the Wheel","Rand al'Thor",5811
"474","Lord of Chaos","Ch17: The Wheel of a Life","Rand al'Thor",5573
"475","Lord of Chaos","Ch18: A Taste of Solitude","Rand al'Thor",4031
"476","Lord of Chaos","Ch18: A Taste of Solitude","Egwene al'Vere",3380
"477","Lord of Chaos","Ch18: A Taste of Solitude","Rand al'Thor",322
"478","Lord of Chaos","Ch18: A Taste of Solitude","Sulin",149
"479","Lord of Chaos","Ch19: Matters of Toh","Rand al'Thor",4365
"480","Lord of Chaos","Ch19: Matters of Toh","Aviendha",654
"481","Lord of Chaos","Ch20: From the Stedding","Rand al'Thor",5045
"482","Lord of Chaos","Ch21: To Shadar Logoth","Rand al'Thor",5347
"483","Lord of Chaos","Ch22: Heading South","Matrim Cauthon",6192
"484","Lord of Chaos","Ch23: To Understand a Message","Graendal",1811
"485","Lord of Chaos","Ch23: To Understand a Message","Sammael",144
"486","Lord of Chaos","Ch24: An Embassy","Egwene al'Vere",4754
"487","Lord of Chaos","Ch25: Like Lightning and Rain","Egwene al'Vere",6090
"488","Lord of Chaos","Ch25: Like Lightning and Rain","Katerine Alruddin",78
"489","Lord of Chaos","Ch25: Like Lightning and Rain","Nesune Bihara",85
"490","Lord of Chaos","Ch25: Like Lightning and Rain","Sarene Nemdahl",1116
"491","Lord of Chaos","Ch26: Connecting Lines","Rand al'Thor",5069
"492","Lord of Chaos","Ch27: Gifts","Egwene al'Vere",8587
"493","Lord of Chaos","Ch27: Gifts","Nesune Bihara",800
"494","Lord of Chaos","Ch28: Letters","Rand al'Thor",6309
"495","Lord of Chaos","Ch28: Letters","Padan Fain",1223
"496","Lord of Chaos","Ch29: Fire and Spirit","Nynaeve al'Meara",4999
"497","Lord of Chaos","Ch30: To Heal Again","Nynaeve al'Meara",3606
"498","Lord of Chaos","Ch30: To Heal Again","Siuan Sanche",1356
"499","Lord of Chaos","Ch30: To Heal Again","Elayne Trakand",2583
"500","Lord of Chaos","Ch30: To Heal Again","Delana Mosalaine",1406
"501","Lord of Chaos","Ch31: Red Wax","Eamon Valda",1659
"502","Lord of Chaos","Ch31: Red Wax","Pedron Niall",885
"503","Lord of Chaos","Ch31: Red Wax","Morgase Trakand",2686
"504","Lord of Chaos","Ch31: Red Wax","Rhadam Asunawa",351
"505","Lord of Chaos","Ch32: Summoned in Haste","Egwene al'Vere",5261
"506","Lord of Chaos","Ch32: Summoned in Haste","Rand al'Thor",210
"507","Lord of Chaos","Ch33: Courage to Strengthen","Egwene al'Vere",930
"508","Lord of Chaos","Ch33: Courage to Strengthen","Matrim Cauthon",3469
"509","Lord of Chaos","Ch33: Courage to Strengthen","Egwene al'Vere",1657
"510","Lord of Chaos","Ch34: Journey to Salidar","Egwene al'Vere",3062
"511","Lord of Chaos","Ch35: In the Hall of the Sitters","Egwene al'Vere",3774
"512","Lord of Chaos","Ch36: The Amyrlin Is Raised","Egwene al'Vere",5520
"513","Lord of Chaos","Ch37: When Battle Begins","Egwene al'Vere",3553
"514","Lord of Chaos","Ch37: When Battle Begins","Romanda Cassin",200
"515","Lord of Chaos","Ch37: When Battle Begins","Lelaine Akashi",160
"516","Lord of Chaos","Ch37: When Battle Begins","Delana Mosalaine",305
"517","Lord of Chaos","Ch37: When Battle Begins","Siuan Sanche",284
"518","Lord of Chaos","Ch37: When Battle Begins","Nynaeve al'Meara",231
"519","Lord of Chaos","Ch37: When Battle Begins","Elayne Trakand",446
"520","Lord of Chaos","Ch37: When Battle Begins","Egwene al'Vere",108
"521","Lord of Chaos","Ch38: A Sudden Chill","Matrim Cauthon",4800
"522","Lord of Chaos","Ch39: Possibilities","Egwene al'Vere",5713
"523","Lord of Chaos","Ch40: Unexpected Laughter","Matrim Cauthon",2182
"524","Lord of Chaos","Ch40: Unexpected Laughter","Elayne Trakand",2627
"525","Lord of Chaos","Ch41: A Threat","Min Farshaw",1687
"526","Lord of Chaos","Ch41: A Threat","Rand al'Thor",5882
"527","Lord of Chaos","Ch42: The Black Tower","Rand al'Thor",4879
"528","Lord of Chaos","Ch43: The Crown of Roses","Merana Ambrey",2810
"529","Lord of Chaos","Ch43: The Crown of Roses","Dyelin Taravin",102
"530","Lord of Chaos","Ch43: The Crown of Roses","Luan Norwelyn",109
"531","Lord of Chaos","Ch43: The Crown of Roses","Ellorien Traemane",83
"532","Lord of Chaos","Ch44: The Color of Trust","Matrim Cauthon",5657
"533","Lord of Chaos","Ch44: The Color of Trust","Egwene al'Vere",276
"534","Lord of Chaos","Ch45: A Bitter Thought","Vilnar Barada",879
"535","Lord of Chaos","Ch45: A Bitter Thought","Perrin Aybara",4550
"536","Lord of Chaos","Ch46: Beyond the Gate","Perrin Aybara",3382
"537","Lord of Chaos","Ch46: Beyond the Gate","Rand al'Thor",1691
"538","Lord of Chaos","Ch46: Beyond the Gate","Demira Eriff",920
"539","Lord of Chaos","Ch46: Beyond the Gate","Perrin Aybara",1288
"540","Lord of Chaos","Ch46: Beyond the Gate","Demira Eriff",1298
"541","Lord of Chaos","Ch47: The Wandering Woman","Matrim Cauthon",5999
"542","Lord of Chaos","Ch48: Leaning on the Knife","Nynaeve al'Meara",5087
"543","Lord of Chaos","Ch49: The Mirror of Mists","Rand al'Thor",4144
"544","Lord of Chaos","Ch49: The Mirror of Mists","Min Farshaw",1698
"545","Lord of Chaos","Ch49: The Mirror of Mists","Rand al'Thor",1851
"546","Lord of Chaos","Ch49: The Mirror of Mists","Merana Ambrey",2114
"547","Lord of Chaos","Ch50: Thorns","Rand al'Thor",4328
"548","Lord of Chaos","Ch50: Thorns","Perrin Aybara",2519
"549","Lord of Chaos","Ch50: Thorns","Rand al'Thor",285
"550","Lord of Chaos","Ch51: The Taking","Rand al'Thor",1451
"551","Lord of Chaos","Ch51: The Taking","Bain",280
"552","Lord of Chaos","Ch51: The Taking","Perrin Aybara",248
"553","Lord of Chaos","Ch51: The Taking","Rand al'Thor",557
"554","Lord of Chaos","Ch51: The Taking","Sorilea",205
"555","Lord of Chaos","Ch52: Weaves of the Power","Matrim Cauthon",1761
"556","Lord of Chaos","Ch52: Weaves of the Power","Elayne Trakand",2171
"557","Lord of Chaos","Ch52: Weaves of the Power","Egwene al'Vere",3071
"558","Lord of Chaos","Ch52: Weaves of the Power","Myrelle Berengari",588
"559","Lord of Chaos","Ch53: The Feast of Lights","Perrin Aybara",4400
"560","Lord of Chaos","Ch53: The Feast of Lights","Galina Casban",896
"561","Lord of Chaos","Ch53: The Feast of Lights","Rand al'Thor",1663
"562","Lord of Chaos","Ch53: The Feast of Lights","Galina Casban",336
"563","Lord of Chaos","Ch53: The Feast of Lights","Sevanna",322
"564","Lord of Chaos","Ch54: The Sending","Perrin Aybara",8863
"565","Lord of Chaos","Ch55: Dumai's Wells","Gawyn Trakand",872
"566","Lord of Chaos","Ch55: Dumai's Wells","Rand al'Thor",678
"567","Lord of Chaos","Ch55: Dumai's Wells","Perrin Aybara",2082
"568","Lord of Chaos","Ch55: Dumai's Wells","Rand al'Thor",5470
"569","Lord of Chaos","Epilogue: The Answer","Falion Bhoda",314
"570","Lord of Chaos","Epilogue: The Answer","Narrator",120
"571","Lord of Chaos","Epilogue: The Answer","Seanchan Rider",129
"572","Lord of Chaos","Epilogue: The Answer","Moghedien",583
"573","Lord of Chaos","Epilogue: The Answer","Egwene al'Vere",154
"574","Lord of Chaos","Epilogue: The Answer","Demandred",39
"575","Lord of Chaos","Epilogue: The Answer","Quote",71
"576","A Crown of Swords","Prologue: Lightnings","Quote",103
"577","A Crown of Swords","Prologue: Lightnings","Elaida do Avriny a'Roihan",6480
"578","A Crown of Swords","Prologue: Lightnings","Sevanna",5304
"579","A Crown of Swords","Prologue: Lightnings","Alviarin Freidhen",2329
"580","A Crown of Swords","Prologue: Lightnings","Pedron Niall",2313
"581","A Crown of Swords","Prologue: Lightnings","Eamon Valda",1079
"582","A Crown of Swords","Prologue: Lightnings","Gawyn Trakand",1959
"583","A Crown of Swords","Ch1: High Chasaline","Perrin Aybara",5983
"584","A Crown of Swords","Ch2: The Butcher's Yard","Perrin Aybara",9708
"585","A Crown of Swords","Ch3: Hill of the Golden Dawn","Perrin Aybara",6409
"586","A Crown of Swords","Ch4: Into Cairhien","Perrin Aybara",5032
"587","A Crown of Swords","Ch5: A Broken Crown","Perrin Aybara",5034
"588","A Crown of Swords","Ch6: Old Fear, and New Fear","Perrin Aybara",4401
"589","A Crown of Swords","Ch7: Pitfalls and Tripwires","Rand al'Thor",7930
"590","A Crown of Swords","Ch8: The Figurehead","Egwene al'Vere",4886
"591","A Crown of Swords","Ch9: A Pair of Silverpike","Egwene al'Vere",8177
"592","A Crown of Swords","Ch10: Unseen Eyes","Egwene al'Vere",8530
"593","A Crown of Swords","Ch11: An Oath","Egwene al'Vere",7968
"594","A Crown of Swords","Ch12: A Morning of Victory","Egwene al'Vere",13402
"595","A Crown of Swords","Ch13: The Bowl of the Winds","Aviendha",7648
"596","A Crown of Swords","Ch14: White Plumes","Matrim Cauthon",6557
"597","A Crown of Swords","Ch15: Insects","Jaichim Carridin",3379
"598","A Crown of Swords","Ch16: A Touch on the Cheek","Matrim Cauthon",5637
"599","A Crown of Swords","Ch17: The Triumph of Logic","Matrim Cauthon",3809
"600","A Crown of Swords","Ch17: The Triumph of Logic","Joline Maza",1527
"601","A Crown of Swords","Ch17: The Triumph of Logic","Falion Bhoda",1479
"602","A Crown of Swords","Ch17: The Triumph of Logic","Noal Charin",314
"603","A Crown of Swords","Ch18: As the Plow Breaks the Earth","Rand al'Thor",6010
"604","A Crown of Swords","Ch19: Diamonds and Stars","Merana Ambrey",3992
"605","A Crown of Swords","Ch19: Diamonds and Stars","Min Farshaw",1535
"606","A Crown of Swords","Ch19: Diamonds and Stars","Cadsuane Melaidhrin",425
"607","A Crown of Swords","Ch20: Patterns Within Patterns","Sevanna",3482
"608","A Crown of Swords","Ch20: Patterns Within Patterns","Moridin",1115
"609","A Crown of Swords","Ch21: Swovan Night","Matrim Cauthon",2290
"610","A Crown of Swords","Ch21: Swovan Night","Nynaeve al'Meara",3288
"611","A Crown of Swords","Ch22: Small Sacrifices","Elayne Trakand",6259
"612","A Crown of Swords","Ch23: Next Door to a Weaver","Nynaeve al'Meara",7280
"613","A Crown of Swords","Ch24: The Kin","Reanne Corly",1242
"614","A Crown of Swords","Ch24: The Kin","Nynaeve al'Meara",2245
"615","A Crown of Swords","Ch25: Mindtrap","Moghedien",3717
"616","A Crown of Swords","Ch26: The Irrevocable Words","Morgase Trakand",8489
"617","A Crown of Swords","Ch27: To Be Alone","Perrin Aybara",3712
"618","A Crown of Swords","Ch28: Bread and Cheese","Matrim Cauthon",6692
"619","A Crown of Swords","Ch29: The Festival of Birds","Matrim Cauthon",4706
"620","A Crown of Swords","Ch29: The Festival of Birds","Reanne Corly",274
"621","A Crown of Swords","Ch30: The First Cup","Elayne Trakand",3212
"622","A Crown of Swords","Ch30: The First Cup","Moghedien",1195
"623","A Crown of Swords","Ch31: Mashiara","Nynaeve al'Meara",4645
"624","A Crown of Swords","Ch31: Mashiara","Elayne Trakand",2722
"625","A Crown of Swords","Ch32: Sealed to the Flame","Elaida do Avriny a'Roihan",3207
"626","A Crown of Swords","Ch32: Sealed to the Flame","Alviarin Freidhen",217
"627","A Crown of Swords","Ch32: Sealed to the Flame","Seaine Herimon",3228
"628","A Crown of Swords","Ch33: A Bath","Rand al'Thor",4831
"629","A Crown of Swords","Ch34: Ta'veren","Rand al'Thor",5652
"630","A Crown of Swords","Ch35: Into the Woods","Min Farshaw",6579
"631","A Crown of Swords","Ch36: Blades","Min Farshaw",8114
"632","A Crown of Swords","Ch37: A Note from the Palace","Matrim Cauthon",3791
"633","A Crown of Swords","Ch38: Six Stories","Matrim Cauthon",9085
"634","A Crown of Swords","Ch39: Promises to Keep","Matrim Cauthon",8554
"635","A Crown of Swords","Ch40: Spears","Galina Casban",2690
"636","A Crown of Swords","Ch40: Spears","Sevanna",1772
"637","A Crown of Swords","Ch40: Spears","Maeric",1127
"638","A Crown of Swords","Ch40: Spears","Graendal",551
"639","A Crown of Swords","Ch40: Spears","Shaidar Haran",230
"640","A Crown of Swords","Ch41: A Crown of Swords","Rand al'Thor",11891
"641","A Crown of Swords","Ch41: A Crown of Swords","Narrator",231
"642","A Crown of Swords","Ch41: A Crown of Swords","Quote",65
"643","The Path of Daggers","Prologue: Deceptive Appearances","Quote",52
"644","The Path of Daggers","Prologue: Deceptive Appearances","Ethenielle Kirukon Materasu",3917
"645","The Path of Daggers","Prologue: Deceptive Appearances","Verin Mathwin",7309
"646","The Path of Daggers","Prologue: Deceptive Appearances","Moridin",863
"647","The Path of Daggers","Ch1: To Keep the Bargain","Aviendha",8460
"648","The Path of Daggers","Ch2: Unweaving","Elayne Trakand",5893
"649","The Path of Daggers","Ch2: Unweaving","Moridin",1015
"650","The Path of Daggers","Ch2: Unweaving","Gholam",402
"651","The Path of Daggers","Ch3: A Pleasant Ride","Elayne Trakand",5029
"652","The Path of Daggers","Ch4: A Quiet Place","Elayne Trakand",5477
"653","The Path of Daggers","Ch5: The Breaking Storm","Elayne Trakand",7722
"654","The Path of Daggers","Ch6: Threads","Elayne Trakand",8456
"655","The Path of Daggers","Ch6: Threads","Chulein",1231
"656","The Path of Daggers","Ch7: A Goatpen","Perrin Aybara",6470
"657","The Path of Daggers","Ch8: A Simple Country Woman","Perrin Aybara",6891
"658","The Path of Daggers","Ch8: A Simple Country Woman","Faile Bashere",2314
"659","The Path of Daggers","Ch8: A Simple Country Woman","Morgase Trakand",1373
"660","The Path of Daggers","Ch9: Tangles","Perrin Aybara",7786
"661","The Path of Daggers","Ch10: Changes","Perrin Aybara",6231
"662","The Path of Daggers","Ch10: Changes","Faile Bashere",1780
"663","The Path of Daggers","Ch10: Changes","Perrin Aybara",1058
"664","The Path of Daggers","Ch11: Questions and an Oath","Sevanna",3223
"665","The Path of Daggers","Ch11: Questions and an Oath","Galina Casban",3476
"666","The Path of Daggers","Ch12: New Alliances","Graendal",3055
"667","The Path of Daggers","Ch12: New Alliances","Cadsuane Melaidhrin",5247
"668","The Path of Daggers","Ch13: Floating Like Snow","Rand al'Thor",4531
"669","The Path of Daggers","Ch14: Message from the M'Hael","Rand al'Thor",5471
"670","The Path of Daggers","Ch15: Stronger than Written Law","Egwene al'Vere",6755
"671","The Path of Daggers","Ch16: Unexpected Absences","Egwene al'Vere",2878
"672","The Path of Daggers","Ch16: Unexpected Absences","Aran'gar",255
"673","The Path of Daggers","Ch16: Unexpected Absences","Egwene al'Vere",4878
"674","The Path of Daggers","Ch16: Unexpected Absences","Sheriam Bayanar",168
"675","The Path of Daggers","Ch17: Out on the Ice","Egwene al'Vere",5848
"676","The Path of Daggers","Ch18: A Peculiar Calling","Egwene al'Vere",3991
"677","The Path of Daggers","Ch19: The Law","Egwene al'Vere",6784
"678","The Path of Daggers","Ch20: Into Andor","Elayne Trakand",6200
"679","The Path of Daggers","Ch21: Answering the Summons","Rand al'Thor",5857
"680","The Path of Daggers","Ch22: Gathering Clouds","Rand al'Thor",3727
"681","The Path of Daggers","Ch22: Gathering Clouds","Assid Bakuun",1403
"682","The Path of Daggers","Ch23: Fog of War, Storm of Battle","Rand al'Thor",2766
"683","The Path of Daggers","Ch23: Fog of War, Storm of Battle","Furyk Karede",1603
"684","The Path of Daggers","Ch23: Fog of War, Storm of Battle","Rand al'Thor",3655
"685","The Path of Daggers","Ch24: A Time for Iron","Kennar Miraj",2540
"686","The Path of Daggers","Ch24: A Time for Iron","Rand al'Thor",3226
"687","The Path of Daggers","Ch24: A Time for Iron","Kennar Miraj",649
"688","The Path of Daggers","Ch24: A Time for Iron","Bertome Saighan",1141
"689","The Path of Daggers","Ch24: A Time for Iron","Varek",1308
"690","The Path of Daggers","Ch24: A Time for Iron","Davram Bashere",776
"691","The Path of Daggers","Ch24: A Time for Iron","Rand al'Thor",2531
"692","The Path of Daggers","Ch24: A Time for Iron","Abaldar Yulan",117
"693","The Path of Daggers","Ch25: An Unwelcome Return","Elaida do Avriny a'Roihan",3509
"694","The Path of Daggers","Ch25: An Unwelcome Return","Alviarin Freidhen",629
"695","The Path of Daggers","Ch26: The Extra Bit","Seaine Herimon",5314
"696","The Path of Daggers","Ch26: The Extra Bit","Toveine Gazal",1904
"697","The Path of Daggers","Ch27: The Bargain","Min Farshaw",6473
"698","The Path of Daggers","Ch27: The Bargain","Rand al'Thor",2682
"699","The Path of Daggers","Ch28: Crimsonthorn","Elayne Trakand",4207
"700","The Path of Daggers","Ch28: Crimsonthorn","Daved Hanlon",1303
"701","The Path of Daggers","Ch29: A Cup of Sleep","Min Farshaw",3594
"702","The Path of Daggers","Ch29: A Cup of Sleep","Rand al'Thor",1989
"703","The Path of Daggers","Ch29: A Cup of Sleep","Min Farshaw",1104
"704","The Path of Daggers","Ch30: Beginnings","Perrin Aybara",2700
"705","The Path of Daggers","Ch30: Beginnings","Faile Bashere",2365
"706","The Path of Daggers","Ch30: Beginnings","Egwene al'Vere",964
"707","The Path of Daggers","Ch31: After","Narrator",319
"708","Winter's Heart","Prologue: Snow","Quote",54
"709","Winter's Heart","Prologue: Snow","Seaine Herimon",3594
"710","Winter's Heart","Prologue: Snow","Elayne Trakand",12438
"711","Winter's Heart","Prologue: Snow","Toveine Gazal",5901
"712","Winter's Heart","Prologue: Snow","Rand al'Thor",5209
"713","Winter's Heart","Ch1: Leaving the Prophet","Perrin Aybara",4065
"714","Winter's Heart","Ch2: Taken","Perrin Aybara",5321
"715","Winter's Heart","Ch3: Customs","Faile Bashere",4694
"716","Winter's Heart","Ch4: Offers","Faile Bashere",6829
"717","Winter's Heart","Ch5: Flags","Perrin Aybara",4042
"718","Winter's Heart","Ch6: The Scent of Madness","Perrin Aybara",6850
"719","Winter's Heart","Ch7: The Streets of Caemlyn","Elayne Trakand",6384
"720","Winter's Heart","Ch8: Sea Folk and Kin","Elayne Trakand",7313
"721","Winter's Heart","Ch9: A Cup of Tea","Elayne Trakand",4764
"722","Winter's Heart","Ch10: A Plan Succeeds","Elayne Trakand",7551
"723","Winter's Heart","Ch10: A Plan Succeeds","Asne Zeramene",1662
"724","Winter's Heart","Ch10: A Plan Succeeds","Mili Skane",1087
"725","Winter's Heart","Ch11: Ideas of Importance","Rand al'Thor",2675
"726","Winter's Heart","Ch11: Ideas of Importance","Nynaeve al'Meara",7571
"727","Winter's Heart","Ch12: A Lily in Winter","Elayne Trakand",5731
"728","Winter's Heart","Ch12: A Lily in Winter","Min Farshaw",2706
"729","Winter's Heart","Ch12: A Lily in Winter","Elayne Trakand",343
"730","Winter's Heart","Ch13: Wonderful News","Cadsuane Melaidhrin",4589
"731","Winter's Heart","Ch13: Wonderful News","Demandred",2238
"732","Winter's Heart","Ch14: What a Veil Hides","Tuon Athaem Kore Paendrag",3630
"733","Winter's Heart","Ch15: In Need of a Bellfounder","Matrim Cauthon",4409
"734","Winter's Heart","Ch16: An Unexpected Encounter","Matrim Cauthon",5996
"735","Winter's Heart","Ch17: Pink Ribbons","Matrim Cauthon",6313
"736","Winter's Heart","Ch18: An Offer","Matrim Cauthon",5968
"737","Winter's Heart","Ch19: Three Women","Matrim Cauthon",6074
"738","Winter's Heart","Ch20: Questions of Treason","Bethamin Zeami",4950
"739","Winter's Heart","Ch21: A Matter of Property","Egeanin Tamarath",4622
"740","Winter's Heart","Ch22: Out of Thin Air","Rand al'Thor",3433
"741","Winter's Heart","Ch22: Out of Thin Air","Raefar Kisman",771
"742","Winter's Heart","Ch22: Out of Thin Air","Rand al'Thor",1789
"743","Winter's Heart","Ch22: Out of Thin Air","Slayer",705
"744","Winter's Heart","Ch23: To Lose the Sun","Shalon din Togara Morning Tide",6617
"745","Winter's Heart","Ch24: Among the Counsels","Shalon din Togara Morning Tide",4734
"746","Winter's Heart","Ch25: Bonds","Rand al'Thor",4618
"747","Winter's Heart","Ch25: Bonds","Verin Mathwin",1116
"748","Winter's Heart","Ch26: Expectation","Elayne Trakand",6314
"749","Winter's Heart","Ch27: To Surprise Queens and Kings","Elayne Trakand",7222
"750","Winter's Heart","Ch28: News in a Cloth Sack","Matrim Cauthon",6734
"751","Winter's Heart","Ch29: Another Plan","Matrim Cauthon",6136
"752","Winter's Heart","Ch30: Cold, Fat Raindrops","Matrim Cauthon",3726
"753","Winter's Heart","Ch31: What the Aelfinn Said","Matrim Cauthon",5102
"754","Winter's Heart","Ch32: A Portion of Wisdom","Rand al'Thor",5309
"755","Winter's Heart","Ch33: Blue Carp Street","Min Farshaw",1411
"756","Winter's Heart","Ch33: Blue Carp Street","Rand al'Thor",3359
"757","Winter's Heart","Ch34: The Hummingbird's Secret","Nynaeve al'Meara",1189
